User,ID,Modelo,Local,Watt-dia,Watt-Mes,Watt-Atual,Voltagem-Atual,Corrente-Atual,Valor-Conta,Watt-Jun-2024,Watt-Jul-2024,Watt-Ago-2024,Watt-Set-2024,Watt-Out-2024,Watt-Nov-2024,Valor-Conta-Jun-2024,Valor-Conta-Jul-2024,Valor-Conta-Ago-2024,Valor-Conta-Set-2024,Valor-Conta-Out-2024,Valor-Conta-Nov-2024
user001@example.com,0,2,Banheiro,1.22,58.77,0.17,222.96855878546899,0.0,43.83,26.56,31.28,49.12,43.43,31.86,29.96,19.81,23.33,36.63,32.39,23.76,22.34
user001@example.com,1,2,Garagem,1.02,42.78,0.06,220.25596256864463,0.0,31.9,35.75,50.54,44.36,30.8,40.15,34.48,26.66,37.69,33.08,22.97,29.94,25.71
user001@example.com,2,1,Garagem,4.97,40.47,0.11,222.75832850250583,0.0,30.18,40.99,28.27,39.48,42.71,34.75,33.43,30.57,21.08,29.44,31.85,25.91,24.93
user001@example.com,3,1,Escritorio,2.23,30.65,0.14,230.18933605443294,0.0,22.86,33.29,44.03,27.83,30.93,32.42,41.04,24.82,32.83,20.75,23.06,24.18,30.6
user002@example.com,4,1,Quarto,4.28,56.17,0.06,224.5776731090093,0.0,41.89,37.85,36.12,27.76,50.51,42.01,35.0,28.23,26.94,20.7,37.67,31.33,26.1
user002@example.com,5,2,Banheiro,0.94,54.25,0.17,235.86170586737754,0.0,40.45,32.71,31.82,50.69,41.26,25.94,30.59,24.39,23.73,37.8,30.77,19.34,22.81
user002@example.com,6,2,Area de Servico,1.27,38.02,0.12,238.41722969905763,0.0,28.35,32.75,30.65,27.33,27.7,30.96,44.59,24.42,22.86,20.38,20.66,23.09,33.25
user002@example.com,7,1,Cozinha,2.48,68.12,0.1,232.56050284740718,0.0,50.8,35.24,43.84,33.93,46.22,47.43,25.64,26.28,32.69,25.3,34.47,35.37,19.12
user002@example.com,8,1,Banheiro,3.02,41.4,0.08,236.8630115793329,0.0,30.87,30.59,46.98,31.64,42.79,33.49,50.21,22.81,35.03,23.59,31.91,24.97,37.44
user002@example.com,9,1,Cozinha,2.72,65.09,0.07,224.08986198939755,0.0,48.54,49.01,40.98,42.23,32.84,29.47,38.93,36.55,30.56,31.49,24.49,21.98,29.03
user003@example.com,10,2,Sala,1.92,46.32,0.07,221.25251137683796,0.0,34.54,28.1,43.32,40.46,47.89,47.14,30.26,20.95,32.3,30.17,35.71,35.15,22.57
user003@example.com,11,2,Cozinha,4.57,73.36,0.08,228.06846923719883,0.0,54.71,27.47,43.19,44.46,38.46,32.04,31.01,20.48,32.21,33.15,28.68,23.89,23.12
user003@example.com,12,1,Area de Servico,1.0,66.38,0.09,235.8585482796834,0.0,49.5,48.11,33.13,40.79,32.98,33.2,45.62,35.88,24.71,30.42,24.59,24.76,34.02
user004@example.com,13,1,Cozinha,1.56,74.93,0.14,237.8743981325827,0.0,55.88,36.31,44.04,46.54,50.62,31.95,26.27,27.08,32.84,34.71,37.75,23.83,19.59
user004@example.com,14,1,Garagem,0.66,72.53,0.19,228.0324975777212,0.0,54.09,29.96,30.18,25.62,30.44,40.09,49.04,22.34,22.51,19.11,22.7,29.9,36.57
user004@example.com,15,2,Area de Servico,1.65,34.49,0.19,227.37174714454275,0.0,25.72,29.6,28.41,48.98,33.96,38.62,46.91,22.07,21.19,36.52,25.32,28.8,34.98
user004@example.com,16,2,Sala,1.92,45.1,0.11,237.41190162408662,0.0,33.63,36.61,41.33,34.75,33.92,26.78,33.33,27.3,30.82,25.91,25.29,19.97,24.85
user004@example.com,17,1,Escritorio,3.96,54.68,0.08,222.3520436656287,0.0,40.78,44.96,44.35,39.26,42.4,26.35,41.65,33.53,33.07,29.28,31.62,19.65,31.06
user004@example.com,18,1,Sala,2.83,75.65,0.12,223.93780281655262,0.0,56.41,39.08,35.56,32.9,41.4,39.49,44.75,29.14,26.52,24.53,30.87,29.45,33.37
user005@example.com,19,2,Quarto,1.12,73.0,0.05,236.68978866819936,0.0,54.44,47.39,33.06,48.21,49.86,42.78,36.72,35.34,24.65,35.95,37.18,31.9,27.38
user005@example.com,20,2,Quarto,4.07,31.46,0.19,230.9023830818634,0.0,23.46,45.82,45.75,42.95,45.26,39.67,41.73,34.17,34.12,32.03,33.75,29.58,31.12
user005@example.com,21,1,Cozinha,3.86,68.89,0.14,232.5609631678026,0.0,51.37,32.08,41.25,46.62,34.19,46.2,38.03,23.92,30.76,34.77,25.5,34.45,28.36
user005@example.com,22,2,Cozinha,1.04,55.11,0.09,230.7907181978458,0.0,41.1,34.95,35.44,42.83,50.2,39.94,27.42,26.06,26.43,31.94,37.43,29.78,20.45
user005@example.com,23,2,Banheiro,2.07,48.48,0.12,223.99130729388057,0.0,36.15,28.25,29.53,33.87,34.17,30.52,48.08,21.07,22.02,25.26,25.48,22.76,35.85
user006@example.com,24,1,Escritorio,4.75,43.92,0.15,231.5796027824551,0.0,32.75,46.51,42.13,37.64,32.96,34.66,29.45,34.68,31.42,28.07,24.58,25.85,21.96
user006@example.com,25,1,Area de Servico,1.06,48.17,0.16,239.14635759011546,0.0,35.92,34.19,31.67,44.12,40.29,44.95,39.94,25.5,23.62,32.9,30.04,33.52,29.78
user006@example.com,26,1,Sala,4.75,44.67,0.09,225.77824016844494,0.0,33.31,40.12,28.37,25.7,31.64,29.24,34.12,29.92,21.16,19.16,23.59,21.8,25.44
user006@example.com,27,1,Area de Servico,4.91,42.99,0.18,238.14522349055355,0.0,32.06,35.35,41.78,49.39,33.8,47.43,39.91,26.36,31.16,36.83,25.2,35.37,29.76
user007@example.com,28,1,Garagem,1.75,59.15,0.15,226.32114394420194,0.0,44.11,49.65,25.71,39.39,30.95,27.94,40.72,37.02,19.17,29.37,23.08,20.84,30.37
user007@example.com,29,2,Cozinha,0.62,48.42,0.07,237.9798427199659,0.0,36.11,37.7,36.04,46.82,49.7,43.83,47.57,28.11,26.88,34.91,37.06,32.68,35.47
user007@example.com,30,1,Escritorio,2.17,67.84,0.18,236.54784843184268,0.0,50.59,50.03,42.14,35.22,26.62,27.28,40.48,37.31,31.42,26.26,19.85,20.34,30.19
user008@example.com,31,2,Garagem,1.98,33.0,0.08,220.54105301714304,0.0,24.61,38.41,27.38,33.86,47.04,44.67,38.68,28.64,20.42,25.25,35.08,33.31,28.84
user008@example.com,32,2,Garagem,4.27,64.7,0.11,236.0795267759268,0.0,48.25,32.61,29.95,38.21,28.03,30.03,33.99,24.32,22.33,28.49,20.9,22.39,25.35
user008@example.com,33,2,Quarto,2.45,58.36,0.17,226.61739816824632,0.0,43.52,44.6,33.11,45.91,34.31,27.25,43.05,33.26,24.69,34.24,25.59,20.32,32.1
user009@example.com,34,1,Sala,3.45,72.55,0.19,238.06637697170515,0.0,54.1,50.61,44.0,44.54,28.14,30.96,35.72,37.74,32.81,33.21,20.98,23.09,26.64
user009@example.com,35,1,Area de Servico,1.26,72.57,0.17,234.1226238920871,0.0,54.12,34.54,26.15,35.27,45.33,35.17,47.12,25.76,19.5,26.3,33.8,26.23,35.14
user009@example.com,36,2,Escritorio,1.39,32.2,0.1,229.54705271907937,0.0,24.01,26.34,35.17,45.76,42.46,45.4,41.11,19.64,26.23,34.12,31.66,33.86,30.66
user009@example.com,37,1,Banheiro,0.62,36.09,0.15,232.09619861362054,0.0,26.91,38.8,42.43,43.83,40.36,35.55,48.93,28.93,31.64,32.68,30.1,26.51,36.49
user009@example.com,38,2,Escritorio,3.77,32.86,0.18,239.6629183777639,0.0,24.5,32.91,33.3,31.35,46.47,38.34,45.97,24.54,24.83,23.38,34.65,28.59,34.28
user010@example.com,39,1,Sala,1.2,63.67,0.06,223.26366878031158,0.0,47.48,32.5,44.37,39.91,39.05,28.18,42.37,24.24,33.09,29.76,29.12,21.01,31.6
user010@example.com,40,1,Sala,2.12,40.47,0.18,220.63659052544017,0.0,30.18,35.16,47.47,28.22,29.58,36.56,40.82,26.22,35.4,21.04,22.06,27.26,30.44
user010@example.com,41,1,Garagem,2.08,70.78,0.18,231.46601963078953,0.0,52.78,46.99,48.4,28.66,36.98,42.53,48.43,35.04,36.09,21.37,27.58,31.72,36.11
user011@example.com,42,2,Escritorio,1.49,56.15,0.15,233.03728252065306,0.0,41.87,44.17,45.48,48.69,34.4,47.33,34.83,32.94,33.91,36.31,25.65,35.29,25.97
user011@example.com,43,1,Banheiro,0.96,71.87,0.18,231.61907255571728,0.0,53.59,28.78,27.15,32.5,36.0,32.34,32.93,21.46,20.25,24.24,26.85,24.12,24.56
user011@example.com,44,2,Sala,2.04,49.53,0.14,231.07290252770426,0.0,36.94,44.67,38.17,44.13,43.39,39.42,42.44,33.31,28.46,32.91,32.36,29.4,31.65
user011@example.com,45,1,Cozinha,2.64,40.7,0.11,236.18546119142138,0.0,30.35,26.17,39.13,34.85,45.52,35.76,29.15,19.52,29.18,25.99,33.94,26.67,21.74
user012@example.com,46,2,Banheiro,3.48,37.04,0.16,228.12262680600367,0.0,27.62,29.19,49.77,43.16,40.53,28.65,45.69,21.77,37.11,32.18,30.22,21.36,34.07
user012@example.com,47,1,Area de Servico,0.91,74.11,0.17,221.91726997277877,0.0,55.26,31.98,46.58,30.44,45.48,32.11,43.71,23.85,34.74,22.7,33.91,23.94,32.59
user012@example.com,48,1,Cozinha,2.59,43.35,0.19,226.38388375742386,0.0,32.33,48.71,31.97,41.54,26.92,30.7,47.69,36.32,23.84,30.98,20.07,22.89,35.56
user012@example.com,49,2,Escritorio,0.99,45.68,0.18,226.5275268974106,0.0,34.06,39.4,47.28,37.74,26.78,47.03,50.2,29.38,35.26,28.14,19.97,35.07,37.43
user013@example.com,50,1,Garagem,3.06,58.26,0.11,227.03924857571826,0.0,43.45,33.29,28.59,48.44,40.43,45.2,48.07,24.82,21.32,36.12,30.15,33.71,35.85
user013@example.com,51,1,Cozinha,2.15,48.95,0.07,229.53143690787857,0.0,36.5,36.27,42.59,47.79,40.9,28.05,47.95,27.05,31.76,35.64,30.5,20.92,35.76
user013@example.com,52,2,Sala,3.29,43.0,0.15,233.7971324079736,0.0,32.07,30.88,27.96,46.15,43.4,31.84,34.27,23.03,20.85,34.41,32.36,23.74,25.56
user013@example.com,53,1,Cozinha,1.92,30.84,0.17,239.23106900394941,0.0,23.0,34.84,46.23,30.11,30.71,36.49,34.85,25.98,34.47,22.45,22.9,27.21,25.99
user013@example.com,54,2,Sala,1.43,35.67,0.17,224.82687364004323,0.0,26.6,45.73,37.11,26.72,27.18,41.14,31.13,34.1,27.67,19.93,20.27,30.68,23.21
user013@example.com,55,1,Area de Servico,0.9,40.51,0.19,234.16108434459966,0.0,30.21,44.58,27.32,45.91,25.77,36.14,28.77,33.24,20.37,34.24,19.22,26.95,21.45
user014@example.com,56,2,Escritorio,2.57,30.65,0.12,222.34178559096517,0.0,22.86,33.98,38.15,45.43,44.99,29.01,34.13,25.34,28.45,33.88,33.55,21.63,25.45
user014@example.com,57,2,Area de Servico,3.11,47.93,0.06,222.73747521102496,0.0,35.74,33.19,43.03,44.49,50.49,37.09,49.52,24.75,32.09,33.18,37.65,27.66,36.93
user014@example.com,58,2,Cozinha,2.12,62.04,0.18,230.07914834773436,0.0,46.26,35.67,41.95,48.67,39.92,36.9,30.29,26.6,31.28,36.29,29.77,27.52,22.59
user014@example.com,59,2,Cozinha,2.95,58.87,0.18,224.48175691050994,0.0,43.9,34.1,44.47,49.71,50.02,50.31,41.5,25.43,33.16,37.07,37.3,37.52,30.95
user014@example.com,60,2,Banheiro,4.04,62.56,0.07,231.18641012603229,0.0,46.65,41.08,26.81,35.47,32.43,47.91,31.56,30.63,19.99,26.45,24.18,35.73,23.53
user015@example.com,61,2,Garagem,4.75,56.65,0.11,231.7959342139397,0.0,42.24,48.42,32.57,32.24,29.17,45.77,35.52,36.11,24.29,24.04,21.75,34.13,26.49
user015@example.com,62,1,Cozinha,4.57,55.27,0.19,230.3936892372702,0.0,41.22,48.12,29.68,32.78,37.52,27.73,40.05,35.88,22.13,24.44,27.98,20.68,29.87
user015@example.com,63,2,Garagem,2.75,70.27,0.06,235.65227255057124,0.0,52.4,26.99,45.29,27.77,26.68,31.99,38.38,20.13,33.77,20.71,19.9,23.86,28.62
user015@example.com,64,2,Garagem,3.2,49.55,0.18,232.73716253881307,0.0,36.95,35.12,37.78,47.04,26.79,41.98,32.24,26.19,28.17,35.08,19.98,31.3,24.04
user015@example.com,65,2,Banheiro,2.07,73.09,0.15,231.40300616672081,0.0,54.5,42.74,34.12,43.55,45.87,43.32,31.5,31.87,25.44,32.48,34.21,32.3,23.49
user015@example.com,66,1,Area de Servico,0.5,32.15,0.16,226.60826218124333,0.0,23.97,42.14,30.68,28.78,26.94,44.35,27.7,31.42,22.88,21.46,20.09,33.07,20.66
user016@example.com,67,1,Garagem,4.51,55.2,0.08,232.7301584518179,0.0,41.16,25.82,35.21,40.11,30.71,37.07,26.08,19.25,26.26,29.91,22.9,27.64,19.45
user016@example.com,68,2,Escritorio,0.64,59.42,0.18,239.02689864206846,0.0,44.31,27.93,48.37,42.15,27.46,38.84,44.31,20.83,36.07,31.43,20.48,28.96,33.04
user016@example.com,69,1,Banheiro,1.24,61.59,0.11,234.58449898126293,0.0,45.93,47.18,32.94,29.43,32.4,30.65,29.55,35.18,24.56,21.95,24.16,22.86,22.04
user016@example.com,70,2,Garagem,4.73,51.32,0.14,229.93268820606804,0.0,38.27,49.31,30.27,36.66,49.43,41.84,35.8,36.77,22.57,27.34,36.86,31.2,26.7
user016@example.com,71,2,Area de Servico,1.75,72.67,0.12,226.7927270404909,0.0,54.19,46.08,35.67,40.81,34.68,41.34,44.77,34.36,26.6,30.43,25.86,30.83,33.39
user016@example.com,72,2,Cozinha,4.65,30.46,0.08,223.64522771417833,0.0,22.71,28.62,33.39,48.33,44.9,42.18,42.57,21.34,24.9,36.04,33.48,31.45,31.74
user017@example.com,73,2,Area de Servico,4.79,52.47,0.06,239.5589640639603,0.0,39.13,46.34,36.08,31.6,44.67,31.59,45.39,34.56,26.91,23.56,33.31,23.56,33.85
user017@example.com,74,2,Banheiro,1.03,43.34,0.13,226.66984761433048,0.0,32.32,40.75,39.41,31.33,34.86,41.81,42.94,30.39,29.39,23.36,26.0,31.18,32.02
user017@example.com,75,2,Garagem,3.09,75.86,0.07,230.69496256516007,0.0,56.57,45.78,27.36,47.9,39.14,33.86,33.8,34.14,20.4,35.72,29.19,25.25,25.2
user017@example.com,76,2,Garagem,1.67,35.67,0.09,224.49843885204365,0.0,26.6,35.86,48.94,47.06,26.11,48.42,27.7,26.74,36.5,35.09,19.47,36.11,20.66
user017@example.com,77,1,Area de Servico,2.93,75.31,0.05,229.11469795467914,0.0,56.16,34.54,46.05,45.18,44.08,34.76,38.67,25.76,34.34,33.69,32.87,25.92,28.84
user017@example.com,78,1,Cozinha,2.47,71.78,0.08,231.3770473940582,0.0,53.53,46.57,49.41,43.8,27.21,42.68,45.15,34.73,36.85,32.66,20.29,31.83,33.67
user018@example.com,79,2,Escritorio,2.86,54.28,0.12,220.03942127796546,0.0,40.48,47.45,28.01,26.77,41.09,37.88,28.22,35.38,20.89,19.96,30.64,28.25,21.04
user018@example.com,80,1,Area de Servico,1.98,43.62,0.06,229.60422805577127,0.0,32.53,48.08,43.37,27.53,34.65,32.34,38.15,35.85,32.34,20.53,25.84,24.12,28.45
user018@example.com,81,2,Banheiro,2.85,75.77,0.19,236.3381804933661,0.0,56.5,40.62,49.24,40.73,32.62,48.25,41.31,30.29,36.72,30.37,24.33,35.98,30.81
user019@example.com,82,2,Garagem,2.06,58.34,0.11,234.7717608597452,0.0,43.5,49.08,34.07,39.76,47.73,47.44,31.57,36.6,25.41,29.65,35.59,35.38,23.54
user019@example.com,83,2,Banheiro,0.57,62.27,0.12,239.8224284777487,0.0,46.44,41.63,31.0,37.58,30.73,44.63,47.12,31.04,23.12,28.02,22.92,33.28,35.14
